n,z_position, force, x_location, y_location, sequence, attachment_tries, time
S,0.00,-0.00,0,0,0,0,14617
S,0.00,-0.00,0,0,0,0,14709
S,0.00,-0.00,0,0,0,0,14804
S,0.00,-0.00,0,0,0,0,14904
S,0.00,-0.00,0,0,0,0,15004
S,0.00,-0.00,0,0,0,0,15104
S,0.00,0.00,0,0,0,0,15204
S,0.00,-0.00,0,0,0,0,15304
S,0.00,-0.00,0,0,0,0,15404
S,0.00,-0.00,0,0,0,0,15504
S,0.00,-0.00,0,0,0,0,15604
S,0.00,-0.00,0,0,0,0,15704
S,0.00,-0.00,0,0,0,0,15804
S,0.00,-0.00,0,0,0,0,15904
S,0.00,0.00,0,0,0,0,16004
S,0.00,0.00,0,0,0,0,16104
S,0.00,-0.00,0,0,0,0,16204
S,0.00,-0.00,0,0,0,0,16304
S,0.00,-0.00,0,0,0,0,16404
S,0.00,-0.00,0,0,0,0,16504
S,0.00,-0.00,0,0,0,0,16604
S,0.00,-0.00,0,0,0,0,16704
S,0.00,-0.00,0,0,0,0,16804
S,0.00,-0.00,0,0,0,0,16904
S,0.00,-0.00,0,0,0,0,17004
S,0.00,-0.00,0,0,0,0,17104
S,0.00,-0.00,0,0,0,0,17204
S,0.00,-0.00,0,0,0,0,17304
S,0.00,-0.00,0,0,0,0,17404
S,0.00,-0.00,0,0,0,0,17504
S,0.00,-0.00,0,0,0,0,17604
S,0.00,-0.00,0,0,0,0,17704
S,0.00,-0.00,0,0,0,0,17804
S,0.00,-0.00,0,0,0,0,17904
S,0.00,-0.00,0,0,0,0,18004
S,0.00,-0.00,0,0,0,0,18104
S,0.00,-0.00,0,0,0,0,18204
S,0.00,-0.00,0,0,0,0,18304
S,0.00,-0.00,0,0,0,0,18404
S,0.00,-0.00,0,0,0,0,18504
S,0.00,-0.00,0,0,0,0,18604
S,0.00,-0.00,0,0,0,0,18704
S,0.00,-0.00,0,0,0,0,18804
S,0.00,-0.01,0,0,0,0,18904
S,0.00,-0.01,0,0,0,0,19004
S,0.00,-0.01,0,0,0,0,19104
S,0.00,-0.01,0,0,0,0,19204
S,0.00,-0.01,0,0,0,0,19304
S,0.00,-0.01,0,0,0,0,19404
S,0.00,-0.00,0,0,0,0,19504
S,0.00,-0.00,0,0,0,0,19604
S,0.00,-0.01,0,0,0,0,19704
S,0.00,-0.01,0,0,0,0,19804
S,0.00,-0.01,0,0,0,0,19904
S,0.00,-0.01,0,0,0,0,20004
S,0.00,-0.01,0,0,0,0,20104
S,0.00,-0.01,0,0,0,0,20204
S,0.00,-0.01,0,0,0,0,20304
S,0.00,-0.01,0,0,0,0,20404
S,0.00,-0.01,0,0,0,0,20504
S,0.00,-0.01,0,0,0,0,20604
S,0.00,-0.01,0,0,0,0,20704
S,0.00,-0.00,0,0,0,0,20804
S,0.00,-0.01,0,0,0,0,20904
S,0.00,-0.01,0,0,0,0,21004
S,0.00,-0.01,0,0,0,0,21104
S,0.00,-0.01,0,0,0,0,21204
S,0.00,-0.01,0,0,0,0,21304
S,0.00,-0.01,0,0,0,0,21404
S,0.00,-0.01,0,0,0,0,21504
S,0.00,-0.01,0,0,0,0,21604
S,0.00,-0.01,0,0,0,0,21704
S,0.00,-0.01,0,0,0,0,21804
S,0.00,-0.01,0,0,0,0,21904
S,0.00,-0.01,0,0,0,0,22004
S,0.00,-0.01,0,0,0,0,22104
S,0.00,-0.01,0,0,0,0,22204
S,0.00,-0.01,0,0,0,0,22304
S,0.00,-0.01,0,0,0,0,22404
S,0.00,-0.01,0,0,0,0,22504
S,0.00,-0.01,0,0,0,0,22604
S,0.00,-0.01,0,0,0,0,22704
S,0.00,-0.01,0,0,0,0,22804
S,0.00,-0.01,0,0,0,0,22904
S,0.00,-0.01,0,0,0,0,23004
S,0.00,-0.01,0,0,0,0,23104
S,0.00,-0.01,0,0,0,0,23204
S,0.00,-0.01,0,0,0,0,23304
S,0.00,-0.01,0,0,0,0,23404
S,0.00,-0.01,0,0,0,0,23504
S,0.00,-0.00,0,0,0,0,23604
S,0.00,-0.01,0,0,0,0,23704
S,0.00,-0.01,0,0,0,0,23804
S,0.00,-0.01,0,0,0,0,23904
S,0.00,-0.01,0,0,0,0,24004
S,0.00,-0.00,0,0,0,0,24104
S,0.00,-0.00,0,0,0,0,24204
S,0.00,-0.00,0,0,0,0,24304
S,0.00,-0.00,0,0,0,0,24404
S,0.00,-0.00,0,0,0,0,24504
S,0.00,-0.00,0,0,0,0,24604
S,0.00,-0.00,0,0,0,0,24704
S,0.00,-0.01,0,0,0,0,24804
S,0.00,-0.00,0,0,0,0,24904
S,0.00,-0.00,0,0,0,0,25004
S,0.00,-0.00,0,0,0,0,25104
S,0.00,-0.00,0,0,0,0,25204
S,0.00,-0.00,0,0,0,0,25304
S,0.00,-0.00,0,0,0,0,25404
S,0.00,-0.00,0,0,0,0,25504
S,0.00,-0.00,0,0,0,0,25604
S,0.00,-0.00,0,0,0,0,25704
S,0.00,-0.00,0,0,0,0,25804
S,0.00,-0.00,0,0,0,0,25904
S,0.00,-0.00,0,0,0,0,26004
S,0.00,-0.00,0,0,0,0,26104
S,0.00,-0.00,0,0,0,0,26204
S,0.00,-0.00,0,0,0,0,26304
S,0.00,-0.00,0,0,0,0,26404
S,0.00,-0.00,0,0,0,0,26504
S,0.00,-0.00,0,0,0,0,26604
S,0.00,-0.00,0,0,0,0,26704
S,0.00,-0.00,0,0,0,0,26804
S,0.00,-0.00,0,0,0,0,26904
S,0.00,-0.00,0,0,0,0,27004
S,0.00,-0.00,0,0,0,0,27104
S,0.00,-0.01,0,0,0,0,27204
S,0.00,-0.00,0,0,0,0,27304
S,0.00,-0.00,0,0,0,0,27404
S,0.00,-0.00,0,0,0,0,27504
S,0.00,-0.00,0,0,0,0,27604
S,0.00,-0.00,0,0,0,0,27704
S,0.00,-0.00,0,0,0,0,27804
S,0.00,-0.00,0,0,0,0,27904
S,0.00,-0.00,0,0,0,0,28004
S,0.00,-0.00,0,0,0,0,28104
S,0.00,-0.00,0,0,0,0,28204
S,0.00,-0.00,0,0,0,0,28304
S,0.00,-0.00,0,0,0,0,28404
S,0.00,-0.00,0,0,0,0,28504
S,0.00,-0.00,0,0,0,0,28604
S,0.00,-0.00,0,0,0,0,28704
S,0.00,-0.00,0,0,0,0,28804
S,0.00,-0.00,0,0,0,0,28904
S,0.00,-0.00,0,0,0,0,29004
S,0.00,-0.00,0,0,0,0,29104
S,0.00,-0.00,0,0,0,0,29204
S,0.00,-0.00,0,0,0,0,29304
S,0.00,-0.00,0,0,0,0,29404
S,0.00,-0.00,0,0,0,0,29504
S,0.00,-0.00,0,0,0,0,29604
S,0.00,-0.00,0,0,0,0,29704
S,0.00,-0.00,0,0,0,0,29804
S,0.00,0.00,0,0,0,0,29904
S,0.00,0.00,0,0,0,0,30004
S,0.00,0.00,0,0,0,0,30104
S,0.00,-0.00,0,0,0,0,30204
S,0.00,-0.00,0,0,0,0,30304
S,0.00,-0.00,0,0,0,0,30404
S,0.00,-0.00,0,0,0,0,30504
S,0.00,-0.00,0,0,0,0,30604
S,0.00,-0.00,0,0,0,0,30704
S,0.00,0.00,0,0,0,0,30804
S,0.00,-0.00,0,0,0,0,30904
S,0.00,-0.00,0,0,0,0,31004
S,0.00,-0.00,0,0,0,0,31104
S,0.00,-0.00,0,0,0,0,31204
S,0.00,-0.00,0,0,0,0,31304
S,0.00,-0.00,0,0,0,0,31404
S,0.00,-0.00,0,0,0,0,31504
S,0.00,-0.00,0,0,0,0,31604
S,0.00,-0.00,0,0,0,0,31704
S,0.00,-0.00,0,0,0,0,31804
S,0.00,-0.00,0,0,0,0,31904
S,0.00,-0.00,0,0,0,0,32004
S,0.00,-0.00,0,0,0,0,32104
S,0.00,-0.00,0,0,0,0,32204
S,0.00,-0.00,0,0,0,0,32304
S,0.00,-0.00,0,0,0,0,32404
S,0.00,-0.00,0,0,0,0,32504
S,0.00,-0.00,0,0,0,0,32604
S,0.00,-0.00,0,0,0,0,32704
S,0.00,-0.00,0,0,0,0,32804
S,0.00,-0.00,0,0,0,0,32904
S,0.00,-0.00,0,0,0,0,33004
S,0.00,-0.00,0,0,0,0,33104
S,0.00,-0.00,0,0,0,0,33204
S,0.00,-0.00,0,0,0,0,33304
S,0.00,-0.00,0,0,0,0,33404
S,0.00,0.00,0,0,0,0,33504
S,0.00,0.00,0,0,0,0,33604
S,0.00,0.00,0,0,0,0,33704
S,0.00,0.00,0,0,0,0,33804
S,0.00,0.00,0,0,0,0,33904
S,0.00,0.00,0,0,0,0,34004
S,0.00,0.00,0,0,0,0,34104
S,0.00,0.00,0,0,0,0,34204
S,0.00,0.00,0,0,0,0,34304
S,0.00,0.00,0,0,0,0,34404
S,0.00,0.00,0,0,0,0,34504
S,0.00,0.00,0,0,0,0,34604
S,0.00,0.00,0,0,0,0,34704
S,0.00,0.00,0,0,0,0,34804
S,0.00,0.00,0,0,0,0,34904
S,0.00,0.00,0,0,0,0,35004
S,0.00,0.00,0,0,0,0,35104
S,0.00,-0.00,0,0,0,0,35204
S,0.00,-0.00,0,0,0,0,35304
S,0.00,-0.00,0,0,0,0,35404
S,0.00,-0.00,0,0,0,0,35504
S,0.00,-0.00,0,0,0,0,35604
S,0.00,-0.00,0,0,0,0,35704
S,0.00,-0.00,0,0,0,0,35804
S,0.00,-0.00,0,0,0,0,35904
S,0.00,-0.00,0,0,0,0,36004
S,0.00,-0.00,0,0,0,0,36104
S,0.00,-0.00,0,0,0,0,36204
S,0.00,-0.00,0,0,0,0,36304
S,0.00,-0.00,0,0,0,0,36404
S,0.00,-0.00,0,0,0,0,36504
S,0.00,-0.00,0,0,0,0,36604
S,0.00,-0.00,0,0,0,0,36704
S,0.00,-0.00,0,0,0,0,36804
S,0.00,-0.00,0,0,0,0,36904
S,0.00,-0.00,0,0,0,0,37004
S,0.00,-0.00,0,0,0,0,37104
S,0.00,-0.00,0,0,0,0,37204
S,0.00,-0.00,0,0,0,0,37304
S,0.00,-0.00,0,0,0,0,37404
S,0.00,-0.00,0,0,0,0,37504
S,0.00,-0.00,0,0,0,0,37604
S,0.00,-0.00,0,0,0,0,37704
S,0.00,-0.01,0,0,0,0,37804
S,0.00,-0.00,0,0,0,0,37904
S,0.00,-0.00,0,0,0,0,38004
S,0.00,-0.00,0,0,0,0,38104
S,0.00,-0.00,0,0,0,0,38204
S,0.00,-0.00,0,0,0,0,38304
S,0.00,-0.00,0,0,0,0,38404
S,0.00,-0.00,0,0,0,0,38504
S,0.00,-0.01,0,0,0,0,38604
S,0.00,-0.00,0,0,0,0,38704
S,0.00,-0.00,0,0,0,0,38804
S,0.00,-0.01,0,0,0,0,38904
S,0.00,-0.00,0,0,0,0,39004
S,0.00,-0.01,0,0,0,0,39104
S,0.00,-0.00,0,0,0,0,39204
S,0.00,-0.01,0,0,0,0,39304
S,0.00,-0.01,0,0,0,0,39404
S,0.00,-0.01,0,0,0,0,39504
S,0.00,-0.01,0,0,0,0,39604
S,0.00,-0.01,0,0,0,0,39704
S,0.00,-0.00,0,0,0,0,39804
S,0.00,-0.00,0,0,0,0,39904
S,0.00,-0.01,0,0,0,0,40004
S,0.00,-0.01,0,0,0,0,40104
S,0.00,-0.00,0,0,0,0,40204
S,0.00,-0.00,0,0,0,0,40304
S,0.00,-0.00,0,0,0,0,40404
S,0.00,-0.01,0,0,0,0,40504
S,0.00,-0.01,0,0,0,0,40604
S,0.00,-0.01,0,0,0,0,40704
S,0.00,-0.00,0,0,0,0,40804
S,0.00,-0.00,0,0,0,0,40904
S,0.00,-0.00,0,0,0,0,41004
S,0.00,-0.00,0,0,0,0,41104
S,0.00,-0.01,0,0,0,0,41204
S,0.00,-0.01,0,0,0,0,41304
S,0.00,-0.01,0,0,0,0,41404
S,0.00,-0.01,0,0,0,0,41504
S,0.00,-0.01,0,0,0,0,41604
S,0.00,-0.01,0,0,0,0,41704
S,0.00,-0.00,0,0,0,0,41804
S,0.00,-0.00,0,0,0,0,41904
S,0.00,-0.01,0,0,0,0,42004
S,0.00,-0.01,0,0,0,0,42104
S,0.00,-0.00,0,0,0,0,42204
S,0.00,-0.01,0,0,0,0,42304
S,0.00,-0.00,0,0,0,0,42404
S,0.00,-0.00,0,0,0,0,42504
S,0.00,-0.00,0,0,0,0,42604
S,0.00,-0.01,0,0,0,0,42704
S,0.00,-0.01,0,0,0,0,42804
S,0.00,-0.01,0,0,0,0,42904
S,0.00,-0.01,0,0,0,0,43004
S,0.00,-0.01,0,0,0,0,43104
S,0.00,-0.01,0,0,0,0,43204
S,0.00,-0.01,0,0,0,0,43304
S,0.00,-0.01,0,0,0,0,43404
S,0.00,-0.01,0,0,0,0,43504
S,0.00,-0.01,0,0,0,0,43604
S,0.00,-0.01,0,0,0,0,43704
S,0.00,-0.01,0,0,0,0,43804
S,0.00,-0.01,0,0,0,0,43904
S,0.00,-0.01,0,0,0,0,44004
S,0.00,-0.01,0,0,0,0,44104
S,0.00,-0.01,0,0,0,0,44204
S,0.00,-0.01,0,0,0,0,44304
S,0.00,-0.01,0,0,0,0,44404
S,0.00,-0.01,0,0,0,0,44504
