n,ir_data, pressure, x_location, y_location, sequence, time
S,1956,12426,0,0,0,11300
S,1946,12417,0,0,0,11400
S,1958,12420,0,0,0,11500
S,1960,12420,0,0,0,11600
S,1953,12414,0,0,0,11700
S,1961,12418,0,0,0,11800
S,1952,12424,0,0,0,11900
S,1956,12414,0,0,0,12000
S,1937,12417,0,0,0,12100
S,1970,12414,0,0,0,12200
S,1957,12418,0,0,0,12300
S,1954,12422,0,0,0,12400
S,1956,12416,0,0,0,12500
S,1951,12418,0,0,0,12600
S,1938,12419,0,0,0,12700
S,1952,12417,0,0,0,12800
S,1952,12421,0,0,0,12900
S,1949,12417,0,0,0,13000
S,1953,12417,0,0,0,13100
S,1964,12413,0,0,0,13200
S,1948,12415,0,0,0,13300
S,1949,12417,0,0,0,13400
S,1961,12414,0,0,0,13500
S,1961,12417,0,0,0,13600
S,1958,12419,0,0,0,13700
S,1954,12417,0,0,0,13800
S,1949,12415,0,0,0,13900
S,1942,12413,0,0,0,14000
S,1960,12405,0,0,0,14100
S,1949,12416,0,0,0,14200
S,1950,12416,0,0,0,14300
S,1949,12407,0,0,0,14400
S,1945,12411,0,0,0,14500
S,1958,12411,0,0,0,14600
S,1958,12410,0,0,0,14700
S,1947,12412,0,0,0,14800
S,1960,12415,0,0,0,14900
S,1954,12417,0,0,0,15000
S,1954,12411,0,0,0,15100
S,1945,12419,0,0,0,15200
S,1953,12417,0,0,0,15300
S,1944,12412,0,0,0,15400
S,1952,12413,0,0,0,15500
S,1944,12418,0,0,0,15600
S,1955,12418,0,0,0,15700
S,1946,12410,0,0,0,15800
S,1948,12417,0,0,0,15900
S,1946,12416,0,0,0,16000
S,1952,12419,0,0,0,16100
S,1945,12421,0,0,0,16200
S,1942,12416,0,0,0,16300
S,1954,12417,0,0,0,16400
S,1946,12421,0,0,0,16500
S,1956,12418,0,0,0,16600
S,1954,12416,0,0,0,16700
S,1953,12418,0,0,0,16800
S,1946,12415,0,0,0,16900
S,1954,12412,0,0,0,17000
S,1937,12424,0,0,0,17100
S,1952,12417,0,0,0,17200
S,1937,12416,0,0,0,17300
S,1948,12418,0,0,0,17400
S,1945,12418,0,0,0,17500
S,1945,12418,0,0,0,17600
S,1959,12422,0,0,0,17700
S,1947,12413,0,0,0,17800
S,1947,12418,0,0,0,17900
S,1944,12414,0,0,0,18000
S,1952,12411,0,0,0,18100
S,1950,12414,0,0,0,18200
S,1953,12420,0,0,0,18300
S,1957,12421,0,0,0,18400
S,1950,12426,0,0,0,18500
S,1946,12420,0,0,0,18600
S,1942,12422,0,0,0,18700
S,1942,12420,0,0,0,18800
S,1947,12418,0,0,0,18900
S,1954,12419,0,0,0,19000
S,1955,12425,0,0,0,19100
S,1945,12419,0,0,0,19200
S,1940,12424,0,0,0,19300
S,1951,12422,0,0,0,19400
S,1941,12421,0,0,0,19500
S,1947,12423,0,0,0,19600
S,1955,12425,0,0,0,19700
S,1951,12418,0,0,0,19800
S,1955,12425,0,0,0,19900
S,1938,12425,0,0,0,20000
S,1953,12416,0,0,0,20100
S,1945,12425,0,0,0,20200
S,1947,12427,0,0,0,20300
S,1939,12423,0,0,0,20400
S,1941,12418,0,0,0,20500
S,1939,12417,0,0,0,20600
S,1961,12417,0,0,0,20700
S,1948,12420,0,0,0,20800
S,1938,12419,0,0,0,20900
S,1952,12420,0,0,0,21000
S,1937,12417,0,0,0,21100
S,1947,12424,0,0,0,21200
S,1947,12420,0,0,0,21300
S,1945,12419,0,0,0,21400
S,1937,12427,0,0,0,21500
S,1949,12418,0,0,0,21600
S,1937,12424,0,0,0,21700
S,1935,12424,0,0,0,21800
S,1958,12426,0,0,0,21900
S,1945,12420,0,0,0,22000
S,1939,12417,0,0,0,22100
S,1936,12415,0,0,0,22200
S,1952,12424,0,0,0,22300
S,1929,12415,0,0,0,22400
S,1949,12424,0,0,0,22500
S,1953,12422,0,0,0,22600
S,1961,12425,0,0,0,22700
S,1947,12430,0,0,0,22800
S,1943,12421,0,0,0,22900
S,1953,12425,0,0,0,23000
S,1945,12425,0,0,0,23100
S,1957,12417,0,0,0,23200
S,1953,12422,0,0,0,23300
S,1949,12420,0,0,0,23400
S,1934,12414,0,0,0,23500
S,1943,12431,0,0,0,23600
S,1945,12419,0,0,0,23700
S,1944,12419,0,0,0,23800
S,1949,12418,0,0,0,23900
S,1938,12420,0,0,0,24000
S,1959,12422,0,0,0,24100
S,1947,12423,0,0,0,24200
S,1951,12422,0,0,0,24300
S,1941,12415,0,0,0,24400
S,1944,12420,0,0,0,24500
S,1937,12420,0,0,0,24600
S,1955,12425,0,0,0,24700
S,1955,12424,0,0,0,24800
S,1940,12422,0,0,0,24900
S,1940,12420,0,0,0,25000
S,1958,12421,0,0,0,25100
S,1933,12422,0,0,0,25200
S,1939,12426,0,0,0,25300
S,1950,12420,0,0,0,25400
S,1956,12419,0,0,0,25500
S,1937,12420,0,0,0,25600
S,1937,12421,0,0,0,25700
S,1934,12422,0,0,0,25800
S,1948,12422,0,0,0,25900
S,1944,12419,0,0,0,26000
S,1941,12419,0,0,0,26100
S,1943,12421,0,0,0,26200
S,1938,12421,0,0,0,26300
S,1934,12423,0,0,0,26400
S,1952,12419,0,0,0,26500
S,1931,12415,0,0,0,26600
S,1943,12418,0,0,0,26700
S,1930,12419,0,0,0,26800
S,1947,12423,0,0,0,26900
S,1939,12419,0,0,0,27000
S,1936,12423,0,0,0,27100
S,1942,12420,0,0,0,27200
S,1935,12418,0,0,0,27300
S,1947,12419,0,0,0,27400
S,1935,12422,0,0,0,27500
S,1938,12418,0,0,0,27600
S,1939,12420,0,0,0,27700
S,1946,12426,0,0,0,27800
S,1930,12420,0,0,0,27900
S,1952,12427,0,0,0,28000
S,1936,12425,0,0,0,28100
S,1938,12426,0,0,0,28200
S,1946,12423,0,0,0,28300
S,1938,12431,0,0,0,28400
S,1939,12418,0,0,0,28500
S,1936,12422,0,0,0,28600
S,1929,12421,0,0,0,28700
S,1936,12421,0,0,0,28800
S,1946,12420,0,0,0,28900
S,1935,12421,0,0,0,29000
S,1899,12427,0,0,0,29100
S,1678,12422,0,0,0,29200
S,1394,12427,0,0,0,29300
S,1157,12420,0,0,0,29400
S,1044,12423,0,0,0,29500
S,991,12424,0,0,0,29600
S,939,12421,0,0,0,29700
S,941,12422,0,0,0,29800
S,946,12426,0,0,0,29900
S,936,12428,0,0,0,30000
S,958,12427,0,0,0,30100
S,959,12421,0,0,0,30200
S,947,12423,0,0,0,30300
S,946,12420,0,0,0,30400
S,945,12423,0,0,0,30500
S,941,12418,0,0,0,30600
S,955,12426,0,0,0,30700
S,934,12419,0,0,0,30800
S,952,12428,0,0,0,30900
S,951,12424,0,0,0,31000
S,950,12426,0,0,0,31100
S,933,12421,0,0,0,31200
S,936,12418,0,0,0,31300
S,953,12427,0,0,0,31400
S,947,12423,0,0,0,31500
S,952,12422,0,0,0,31600
S,946,12422,0,0,0,31700
S,949,12424,0,0,0,31800
S,952,12428,0,0,0,31900
S,943,12425,0,0,0,32000
S,940,12426,0,0,0,32100
S,935,12428,0,0,0,32200
S,964,12426,0,0,0,32300
S,957,12424,0,0,0,32400
S,953,12427,0,0,0,32500
S,950,12424,0,0,0,32600
S,957,12422,0,0,0,32700
S,964,12425,0,0,0,32800
S,968,12428,0,0,0,32900
S,966,12422,0,0,0,33000
S,973,12419,0,0,0,33100
S,972,12436,0,0,0,33200
S,976,12423,0,0,0,33300
S,978,12419,0,0,0,33400
S,987,12420,0,0,0,33500
S,985,12422,0,0,0,33600
S,983,12419,0,0,0,33700
S,997,12425,0,0,0,33800
S,1009,12426,0,0,0,33900
S,1004,12424,0,0,0,34000
S,1020,12424,0,0,0,34100
S,1018,12428,0,0,0,34200
S,1025,12422,0,0,0,34300
S,1024,12433,0,0,0,34400
S,1017,12428,0,0,0,34500
S,1039,12428,0,0,0,34600
S,1047,12422,0,0,0,34700
S,1046,12425,0,0,0,34800
S,1061,12426,0,0,0,34900
S,1067,12428,0,0,0,35000
S,1075,12416,0,0,0,35100
S,1077,12425,0,0,0,35200
S,1082,12431,0,0,0,35300
S,1088,12434,0,0,0,35400
S,1106,12430,0,0,0,35500
S,1096,12426,0,0,0,35600
S,1105,12426,0,0,0,35700
S,1108,12432,0,0,0,35800
S,1115,12425,0,0,0,35900
S,1104,12429,0,0,0,36000
S,1123,12431,0,0,0,36100
S,1108,12425,0,0,0,36200
S,1133,12431,0,0,0,36300
S,1139,12421,0,0,0,36400
S,1140,12424,0,0,0,36500
S,1143,12424,0,0,0,36600
S,1155,12425,0,0,0,36700
S,1157,12426,0,0,0,36800
S,1164,12433,0,0,0,36900
S,1172,12425,0,0,0,37000
S,1166,12423,0,0,0,37100
S,1170,12430,0,0,0,37200
S,1158,12431,0,0,0,37300
S,1177,12426,0,0,0,37400
S,1156,12424,0,0,0,37500
S,1176,12428,0,0,0,37600
S,1171,12427,0,0,0,37700
S,1162,12427,0,0,0,37800
S,1175,12422,0,0,0,37900
S,1175,12423,0,0,0,38000
S,1184,12428,0,0,0,38100
S,1169,12427,0,0,0,38200
S,1161,12423,0,0,0,38300
S,1177,12424,0,0,0,38400
S,1168,12427,0,0,0,38500
S,1181,12428,0,0,0,38600
S,1176,12424,0,0,0,38700
S,1169,12421,0,0,0,38800
S,1163,12425,0,0,0,38900
S,1161,12428,0,0,0,39000
S,1156,12430,0,0,0,39100
S,1187,12428,0,0,0,39200
S,1184,12421,0,0,0,39300
S,1180,12428,0,0,0,39400
S,1183,12424,0,0,0,39500
S,1170,12432,0,0,0,39600
S,1173,12430,0,0,0,39700
S,1178,12432,0,0,0,39800
S,1167,12430,0,0,0,39900
S,1168,12430,0,0,0,40000
S,1166,12428,0,0,0,40100
S,1172,12432,0,0,0,40200
S,1158,12422,0,0,0,40300
S,1182,12433,0,0,0,40400
S,1179,12428,0,0,0,40500
S,1169,12427,0,0,0,40600
S,1168,12433,0,0,0,40700
S,1156,12429,0,0,0,40800
S,1177,12427,0,0,0,40900
S,1171,12425,0,0,0,41000
S,1182,12428,0,0,0,41100
S,1183,12429,0,0,0,41200
S,1173,12432,0,0,0,41300
S,1171,12428,0,0,0,41400
S,1181,12429,0,0,0,41500
S,1180,12423,0,0,0,41600
S,1179,12424,0,0,0,41700
S,1191,12432,0,0,0,41800
S,1176,12426,0,0,0,41900
S,1190,12431,0,0,0,42000
S,1185,12431,0,0,0,42100
S,1193,12431,0,0,0,42200
S,1204,12431,0,0,0,42300
S,1162,12432,0,0,0,42400
S,1174,12428,0,0,0,42500
S,1156,12429,0,0,0,42600
S,1168,12431,0,0,0,42700
S,1183,12431,0,0,0,42800
S,1166,12425,0,0,0,42900
S,1167,12429,0,0,0,43000
S,1164,12423,0,0,0,43100
S,1159,12424,0,0,0,43200
S,1160,12431,0,0,0,43300
S,1158,12428,0,0,0,43400
S,1161,12432,0,0,0,43500
S,1171,12429,0,0,0,43600
S,1163,12427,0,0,0,43700
S,1168,12425,0,0,0,43800
S,1153,12426,0,0,0,43900
S,1162,12430,0,0,0,44000
S,1184,12431,0,0,0,44100
S,1178,12433,0,0,0,44200
S,1175,12424,0,0,0,44300
S,1183,12430,0,0,0,44400
S,1203,12431,0,0,0,44500
S,1194,12425,0,0,0,44600
S,1205,12427,0,0,0,44700
S,1216,12429,0,0,0,44800
S,1200,12428,0,0,0,44900
S,1252,12431,0,0,0,45000
S,1239,12430,0,0,0,45100
S,1288,12420,0,0,0,45200
S,1299,12428,0,0,0,45300
S,1308,12426,0,0,0,45400
S,1292,12431,0,0,0,45500
S,1329,12427,0,0,0,45600
S,1349,12433,0,0,0,45700
S,1354,12423,0,0,0,45800
S,1374,12426,0,0,0,45900
S,1369,12427,0,0,0,46000
