n,ir_data, pressure, x_location, y_location, sequence, time
S,2389,12412,0,0,0,0,13700
S,2383,12412,0,0,0,0,13800
S,2381,12412,0,0,0,0,13900
S,2391,12417,0,0,0,0,14000
S,2389,12413,0,0,0,0,14100
S,2379,12408,0,0,0,0,14200
S,2383,12409,0,0,0,0,14300
S,2388,12410,0,0,0,0,14400
S,2383,12413,0,0,0,0,14500
S,2377,12415,0,0,0,0,14600
S,2373,12412,0,0,0,0,14700
S,2356,12404,0,0,0,0,14800
S,2347,12403,0,0,0,0,14900
S,2330,12393,0,0,0,0,15000
S,2303,12392,0,0,0,0,15100
S,2302,12385,0,0,0,0,15200
S,2264,12382,0,0,0,0,15300
S,2290,12387,0,0,0,0,15400
S,2273,12390,0,0,0,0,15500
S,2243,12375,0,0,0,0,15600
S,2224,12377,0,0,0,0,15700
S,2216,12371,0,0,0,0,15800
S,2195,12361,0,0,0,0,15900
S,2184,12356,0,0,0,0,16000
S,2176,12355,0,0,0,0,16100
S,2153,12352,0,0,0,0,16200
S,2143,12350,0,0,0,0,16300
S,2134,12341,0,0,0,0,16400
S,2128,12340,0,0,0,0,16500
S,2113,12332,0,0,0,0,16600
S,2119,12328,0,0,0,0,16700
S,2112,12332,0,0,0,0,16800
S,2107,12325,0,0,0,0,16900
S,2098,12326,0,0,0,0,17000
S,2079,12325,0,0,0,0,17100
S,2045,12307,0,0,0,0,17200
S,2057,12307,0,0,0,0,17300
S,2052,12312,0,0,0,0,17400
S,2011,12305,0,0,0,0,17500
S,2020,12298,0,0,0,0,17600
S,2016,12291,0,0,0,0,17700
S,2019,12279,0,0,0,0,17800
S,2007,12282,0,0,0,0,17900
S,1997,12276,0,0,0,0,18000
S,1987,12265,0,0,0,0,18100
S,1986,12268,0,0,0,0,18200
S,1971,12254,0,0,0,0,18300
S,1947,12268,0,0,0,0,18400
S,1913,12417,0,0,0,0,18500
S,1897,12415,0,0,0,0,18600
S,1864,12415,0,0,0,0,18700
S,1863,12415,0,0,0,0,18800
S,1840,12411,0,0,0,0,18900
S,1798,12414,0,0,0,0,19000
S,1803,12410,0,0,0,0,19100
S,1811,12421,0,0,0,0,19200
S,1811,12415,0,0,0,0,19300
S,1789,12418,0,0,0,0,19400
S,1742,12414,0,0,0,0,19500
S,1720,12419,0,0,0,0,19600
S,1708,12415,0,0,0,0,19700
S,1674,12411,0,0,0,0,19800
S,1674,12410,0,0,0,0,19900
S,1684,12419,0,0,0,0,20000
S,1673,12419,0,0,0,0,20100
S,1680,12417,0,0,0,0,20200
S,1676,12411,0,0,0,0,20300
S,1679,12419,0,0,0,0,20400
S,1722,12411,0,0,0,0,20500
S,1889,12411,0,0,0,0,20600
S,2021,12465,0,0,0,0,20700
S,2185,12528,0,0,0,0,20800
S,2450,12519,0,0,0,0,20900
S,2709,12501,0,0,0,0,21000
S,2910,12478,0,0,0,0,21100
S,2977,12464,0,0,0,0,21200
S,2999,12447,0,0,0,0,21300
S,3009,12445,0,0,0,0,21400
S,3013,12444,0,0,0,0,21500
S,3008,12432,0,0,0,0,21600
S,3010,12429,0,0,0,0,21700
S,3005,12425,0,0,0,0,21800
S,3021,12427,0,0,0,0,21900
S,3001,12419,0,0,0,0,22000
S,3017,12423,0,0,0,0,22100
S,3008,12419,0,0,0,0,22200
S,2977,12408,0,0,0,0,22300
S,2854,12380,0,0,0,0,22400
S,2614,12331,0,0,0,0,22500
S,2351,12250,0,0,0,0,22600
S,2111,12159,0,0,0,0,22700
S,1978,12085,0,0,0,0,22800
S,1718,12416,0,0,0,0,22900
S,1655,12416,0,0,0,0,23000
S,1650,12413,0,0,0,0,23100
S,1653,12417,0,0,0,0,23200
S,1655,12410,0,0,0,0,23300
S,1653,12420,0,0,0,0,23400
S,1656,12416,0,0,0,0,23500
S,1667,12418,0,0,0,0,23600
S,1663,12413,0,0,0,0,23700
S,1666,12412,0,0,0,0,23800
S,1674,12414,0,0,0,0,23900
S,1665,12417,0,0,0,0,24000
S,1663,12412,0,0,0,0,24100
S,1673,12416,0,0,0,0,24200
S,1671,12419,0,0,0,0,24300
S,1664,12419,0,0,0,0,24400
S,1669,12421,0,0,0,0,24500
S,1672,12413,0,0,0,0,24600
S,1671,12411,0,0,0,0,24700
S,1653,12415,0,0,0,0,24800
S,1667,12410,0,0,0,0,24900
S,1666,12417,0,0,0,0,25000
S,1646,12407,0,0,0,0,25100
S,1666,12416,0,0,0,0,25200
S,1659,12425,0,0,0,0,25300
S,1657,12416,0,0,0,0,25400
S,1655,12418,0,0,0,0,25500
S,1644,12414,0,0,0,0,25600
S,1651,12416,0,0,0,0,25700
S,1642,12417,0,0,0,0,25800
S,1636,12414,0,0,0,0,25900
S,1645,12417,0,0,0,0,26000
S,1642,12419,0,0,0,0,26100
S,1633,12417,0,0,0,0,26200
S,1631,12414,0,0,0,0,26300
S,1628,12409,0,0,0,0,26400
S,1636,12411,0,0,0,0,26500
S,1628,12412,0,0,0,0,26600
S,1624,12410,0,0,0,0,26700
S,1632,12414,0,0,0,0,26800
S,1644,12409,0,0,0,0,26900
S,1643,12416,0,0,0,0,27000
S,1643,12416,0,0,0,0,27100
S,1650,12419,0,0,0,0,27200
S,1644,12412,0,0,0,0,27300
S,1653,12414,0,0,0,0,27400
S,1657,12413,0,0,0,0,27500
S,1656,12415,0,0,0,0,27600
S,1675,12415,0,0,0,0,27700
S,1656,12419,0,0,0,0,27800
S,1654,12413,0,0,0,0,27900
S,1666,12413,0,0,0,0,28000
S,1668,12408,0,0,0,0,28100
S,1678,12407,0,0,0,0,28200
S,1670,12416,0,0,0,0,28300
S,1682,12419,0,0,0,0,28400
S,1683,12416,0,0,0,0,28500
S,1672,12411,0,0,0,0,28600
S,1685,12416,0,0,0,0,28700
S,1704,12419,0,0,0,0,28800
S,1698,12419,0,0,0,0,28900
S,1696,12413,0,0,0,0,29000
S,1705,12421,0,0,0,0,29100
S,1699,12410,0,0,0,0,29200
S,1706,12413,0,0,0,0,29300
S,1701,12418,0,0,0,0,29400
S,1719,12423,0,0,0,0,29500
S,1710,12412,0,0,0,0,29600
S,1737,12413,0,0,0,0,29700
S,1717,12418,0,0,0,0,29800
S,1712,12413,0,0,0,0,29900
S,1736,12416,0,0,0,0,30000
S,1735,12416,0,0,0,0,30100
S,1739,12418,0,0,0,0,30200
S,1743,12413,0,0,0,0,30300
S,1738,12413,0,0,0,0,30400
S,1735,12407,0,0,0,0,30500
S,1769,12421,0,0,0,0,30600
S,1740,12415,0,0,0,0,30700
S,1737,12422,0,0,0,0,30800
S,1740,12415,0,0,0,0,30900
S,1743,12418,0,0,0,0,31000
S,1756,12422,0,0,0,0,31100
S,1749,12419,0,0,0,0,31200
S,1734,12415,0,0,0,0,31300
S,1739,12412,0,0,0,0,31400
S,1752,12414,0,0,0,0,31500
S,1750,12412,0,0,0,0,31600
S,1757,12416,0,0,0,0,31700
S,1772,12419,0,0,0,0,31800
S,1746,12415,0,0,0,0,31900
S,1760,12416,0,0,0,0,32000
S,1763,12416,0,0,0,0,32100
S,1767,12414,0,0,0,0,32200
S,1771,12414,0,0,0,0,32300
S,1771,12406,0,0,0,0,32400
S,1759,12414,0,0,0,0,32500
S,1767,12416,0,0,0,0,32600
S,1768,12412,0,0,0,0,32700
S,1747,12413,0,0,0,0,32800
S,1767,12416,0,0,0,0,32900
S,1765,12408,0,0,0,0,33000
S,1760,12410,0,0,0,0,33100
S,1754,12411,0,0,0,0,33200
S,1767,12419,0,0,0,0,33300
S,1766,12417,0,0,0,0,33400
S,1771,12421,0,0,0,0,33500
S,1774,12417,0,0,0,0,33600
S,1754,12410,0,0,0,0,33700
S,1777,12415,0,0,0,0,33800
S,1766,12422,0,0,0,0,33900
S,1772,12420,0,0,0,0,34000
S,1762,12417,0,0,0,0,34100
S,1764,12415,0,0,0,0,34200
S,1746,12413,0,0,0,0,34300
S,1764,12421,0,0,0,0,34400
S,1775,12422,0,0,0,0,34500
S,1778,12419,0,0,0,0,34600
S,1761,12412,0,0,0,0,34700
S,1774,12422,0,0,0,0,34800
