n,ir_data, pressure, x_location, y_location, sequence, time
S,2139,12421,0,0,0,0,11000
S,2144,12425,0,0,0,0,11100
S,2137,12422,0,0,0,0,11200
S,2139,12420,0,0,0,0,11300
S,2137,12419,0,0,0,0,11400
S,2142,12424,0,0,0,0,11500
S,2141,12421,0,0,0,0,11600
S,2141,12427,0,0,0,0,11700
S,2142,12420,0,0,0,0,11800
S,2139,12422,0,0,0,0,11900
S,2145,12422,0,0,0,0,12000
S,2151,12422,0,0,0,0,12100
S,2135,12417,0,0,0,0,12200
S,2150,12422,0,0,0,0,12300
S,2142,12422,0,0,0,0,12400
S,2136,12421,0,0,0,0,12500
S,2137,12427,0,0,0,0,12600
S,2137,12421,0,0,0,0,12700
S,2138,12418,0,0,0,0,12800
S,2137,12421,0,0,0,0,12900
S,2139,12417,0,0,0,0,13000
S,2137,12418,0,0,0,0,13100
S,2146,12424,0,0,0,0,13200
S,2139,12428,0,0,0,0,13300
S,2139,12426,0,0,0,0,13400
S,2141,12427,0,0,0,0,13500
S,2138,12416,0,0,0,0,13600
S,2141,12423,0,0,0,0,13700
S,2143,12423,0,0,0,0,13800
S,2132,12414,0,0,0,0,13900
S,2063,12369,0,0,0,0,14000
S,1886,12414,0,0,0,0,14100
S,1564,12425,0,0,0,0,14200
S,1332,12426,0,0,0,0,14300
S,1208,12415,0,0,0,0,14400
S,1219,12416,0,0,0,0,14500
S,1158,12430,0,0,0,0,14600
S,1136,12418,0,0,0,0,14700
S,1141,12426,0,0,0,0,14800
S,1136,12424,0,0,0,0,14900
S,1133,12428,0,0,0,0,15000
S,1142,12425,0,0,0,0,15100
S,1148,12422,0,0,0,0,15200
S,1158,12420,0,0,0,0,15300
S,1258,12422,0,0,0,0,15400
S,1418,12419,0,0,0,0,15500
S,1618,12418,0,0,0,0,15600
S,1964,12417,0,0,0,0,15700
S,2067,12443,0,0,0,0,15800
S,2125,12474,0,0,0,0,15900
S,2142,12473,0,0,0,0,16000
S,2134,12476,0,0,0,0,16100
S,2137,12463,0,0,0,0,16200
S,2133,12453,0,0,0,0,16300
S,2140,12452,0,0,0,0,16400
S,2115,12430,0,0,0,0,16500
S,2016,12443,0,0,0,0,16600
S,1685,12411,0,0,0,0,16700
S,1413,12423,0,0,0,0,16800
S,1267,12423,0,0,0,0,16900
S,1171,12416,0,0,0,0,17000
S,1147,12425,0,0,0,0,17100
S,1138,12423,0,0,0,0,17200
S,1133,12413,0,0,0,0,17300
S,1134,12415,0,0,0,0,17400
S,1126,12420,0,0,0,0,17500
S,1150,12423,0,0,0,0,17600
S,1136,12420,0,0,0,0,17700
S,1173,12423,0,0,0,0,17800
S,1135,12419,0,0,0,0,17900
S,1147,12422,0,0,0,0,18000
S,1223,12423,0,0,0,0,18100
S,1178,12424,0,0,0,0,18200
S,1183,12423,0,0,0,0,18300
S,1185,12424,0,0,0,0,18400
S,1240,12419,0,0,0,0,18500
S,1208,12424,0,0,0,0,18600
S,1265,12429,0,0,0,0,18700
S,1248,12421,0,0,0,0,18800
S,1239,12424,0,0,0,0,18900
S,1233,12415,0,0,0,0,19000
S,1264,12423,0,0,0,0,19100
S,1280,12424,0,0,0,0,19200
S,1301,12420,0,0,0,0,19300
S,1330,12418,0,0,0,0,19400
S,1310,12423,0,0,0,0,19500
S,1356,12416,0,0,0,0,19600
S,1296,12420,0,0,0,0,19700
S,1334,12414,0,0,0,0,19800
S,1345,12419,0,0,0,0,19900
S,1349,12419,0,0,0,0,20000
S,1359,12424,0,0,0,0,20100
S,1366,12421,0,0,0,0,20200
S,1363,12414,0,0,0,0,20300
S,1385,12426,0,0,0,0,20400
S,1396,12419,0,0,0,0,20500
S,1391,12415,0,0,0,0,20600
S,1413,12420,0,0,0,0,20700
S,1403,12428,0,0,0,0,20800
S,1409,12413,0,0,0,0,20900
S,1430,12419,0,0,0,0,21000
S,1450,12422,0,0,0,0,21100
S,1452,12424,0,0,0,0,21200
S,1450,12426,0,0,0,0,21300
S,1470,12415,0,0,0,0,21400
S,1483,12419,0,0,0,0,21500
S,1490,12417,0,0,0,0,21600
S,1488,12419,0,0,0,0,21700
S,1486,12421,0,0,0,0,21800
S,1499,12422,0,0,0,0,21900
S,1523,12420,0,0,0,0,22000
S,1528,12420,0,0,0,0,22100
S,1525,12420,0,0,0,0,22200
S,1523,12419,0,0,0,0,22300
S,1526,12424,0,0,0,0,22400
S,1531,12424,0,0,0,0,22500
S,1531,12417,0,0,0,0,22600
S,1519,12418,0,0,0,0,22700
S,1554,12424,0,0,0,0,22800
S,1560,12418,0,0,0,0,22900
S,1564,12424,0,0,0,0,23000
S,1582,12422,0,0,0,0,23100
S,1572,12421,0,0,0,0,23200
S,1614,12425,0,0,0,0,23300
S,1631,12424,0,0,0,0,23400
S,1622,12422,0,0,0,0,23500
S,1642,12414,0,0,0,0,23600
S,1657,12423,0,0,0,0,23700
S,1718,12421,0,0,0,0,23800
S,1681,12427,0,0,0,0,23900
S,1674,12426,0,0,0,0,24000
S,1674,12419,0,0,0,0,24100
S,1694,12424,0,0,0,0,24200
S,1704,12415,0,0,0,0,24300
S,1709,12425,0,0,0,0,24400
S,1704,12415,0,0,0,0,24500
S,1704,12416,0,0,0,0,24600
S,1708,12423,0,0,0,0,24700
S,1711,12416,0,0,0,0,24800
S,1703,12422,0,0,0,0,24900
S,1714,12416,0,0,0,0,25000
S,1699,12424,0,0,0,0,25100
S,1709,12422,0,0,0,0,25200
S,1712,12419,0,0,0,0,25300
S,1699,12418,0,0,0,0,25400
S,1707,12417,0,0,0,0,25500
S,1719,12423,0,0,0,0,25600
S,1718,12425,0,0,0,0,25700
S,1699,12420,0,0,0,0,25800
S,1716,12419,0,0,0,0,25900
S,1701,12425,0,0,0,0,26000
S,1709,12417,0,0,0,0,26100
S,1723,12419,0,0,0,0,26200
S,1713,12419,0,0,0,0,26300
S,1703,12412,0,0,0,0,26400
S,1718,12416,0,0,0,0,26500
S,1715,12421,0,0,0,0,26600
S,1712,12425,0,0,0,0,26700
S,1712,12423,0,0,0,0,26800
S,1701,12427,0,0,0,0,26900
S,1703,12418,0,0,0,0,27000
S,1708,12413,0,0,0,0,27100
S,1711,12415,0,0,0,0,27200
S,1720,12426,0,0,0,0,27300
S,1709,12415,0,0,0,0,27400
S,1702,12415,0,0,0,0,27500
S,1712,12421,0,0,0,0,27600
S,1701,12419,0,0,0,0,27700
S,1709,12420,0,0,0,0,27800
S,1703,12418,0,0,0,0,27900
S,1702,12418,0,0,0,0,28000
S,1711,12414,0,0,0,0,28100
S,1708,12419,0,0,0,0,28200
S,1701,12416,0,0,0,0,28300
S,1705,12417,0,0,0,0,28400
S,1712,12423,0,0,0,0,28500
S,1708,12418,0,0,0,0,28600
S,1707,12415,0,0,0,0,28700
S,1717,12420,0,0,0,0,28800
S,1709,12421,0,0,0,0,28900
S,1710,12420,0,0,0,0,29000
S,1707,12421,0,0,0,0,29100
S,1710,12423,0,0,0,0,29200
S,1710,12426,0,0,0,0,29300
S,1716,12428,0,0,0,0,29400
S,1717,12417,0,0,0,0,29500
S,1714,12419,0,0,0,0,29600
S,1706,12417,0,0,0,0,29700
S,1703,12420,0,0,0,0,29800
S,1709,12417,0,0,0,0,29900
S,1718,12084,0,0,0,1,30000
S,1735,12181,0,0,0,1,30100
S,1738,12164,0,0,0,1,30200
S,1741,12195,0,0,0,1,30300
S,1731,12166,0,0,0,1,30400
S,1770,12071,0,0,0,2,30500
S,1794,12093,0,0,0,2,30600
S,1796,12063,0,0,0,2,30700
S,1800,12127,0,0,0,2,30800
