n,ir_data, pressure, x_location, y_location, sequence, attachment_tries, time
S,2428,12439,0,0,0,0,9100
S,2421,12438,0,0,0,0,9200
S,2433,12437,0,0,0,0,9300
S,2439,12436,0,0,0,0,9400
S,2444,12435,0,0,0,0,9500
S,2429,12436,0,0,0,0,9600
S,2432,12437,0,0,0,0,9700
S,2442,12437,0,0,0,0,9800
S,2437,12430,0,0,0,0,9900
S,2423,12436,0,0,0,0,10000
S,2445,12437,0,0,0,0,10100
S,2432,12437,0,0,0,0,10200
S,2456,12428,0,0,0,0,10300
S,2374,12382,0,0,0,0,10400
S,2161,12437,0,0,0,0,10500
S,1814,12437,0,0,0,0,10600
S,1678,12438,0,0,0,0,10700
S,1515,12436,0,0,0,0,10800
S,1488,12433,0,0,0,0,10900
S,1477,12433,0,0,0,0,11000
S,1455,12435,0,0,0,0,11100
S,1453,12439,0,0,0,0,11200
S,1448,12429,0,0,0,0,11300
S,1465,12440,0,0,0,0,11400
S,1469,12438,0,0,0,0,11500
S,1475,12434,0,0,0,0,11600
S,1461,12438,0,0,0,0,11700
S,1459,12434,0,0,0,0,11800
S,1478,12443,0,0,0,0,11900
S,1456,12439,0,0,0,0,12000
S,1480,12433,0,0,0,0,12100
S,1456,12433,0,0,0,0,12200
S,1470,12439,0,0,0,0,12300
S,1473,12442,0,0,0,0,12400
S,1457,12438,0,0,0,0,12500
S,1463,12435,0,0,0,0,12600
S,1455,12439,0,0,0,0,12700
S,1454,12436,0,0,0,0,12800
S,1399,12434,0,0,0,0,12900
S,1391,12438,0,0,0,0,13000
S,1343,12437,0,0,0,0,13100
S,1301,12443,0,0,0,0,13200
S,1278,12436,0,0,0,0,13300
S,1239,12436,0,0,0,0,13400
S,1198,12434,0,0,0,0,13500
S,1217,12437,0,0,0,0,13600
S,1209,12439,0,0,0,0,13700
S,1217,12443,0,0,0,0,13800
S,1269,12435,0,0,0,0,13900
S,1223,12438,0,0,0,0,14000
S,1216,12437,0,0,0,0,14100
S,1201,12440,0,0,0,0,14200
S,1199,12441,0,0,0,0,14300
S,1174,12438,0,0,0,0,14400
S,1176,12435,0,0,0,0,14500
S,1162,12430,0,0,0,0,14600
S,1170,12438,0,0,0,0,14700
S,1162,12433,0,0,0,0,14800
S,1151,12439,0,0,0,0,14900
S,1147,12436,0,0,0,0,15000
S,1199,12435,0,0,0,0,15100
S,1238,12428,0,0,0,0,15200
S,1381,12438,0,0,0,0,15300
S,1397,12433,0,0,0,0,15400
S,1277,12438,0,0,0,0,15500
S,1197,12438,0,0,0,0,15600
S,1205,12435,0,0,0,0,15700
S,1167,12434,0,0,0,0,15800
S,1167,12437,0,0,0,0,15900
S,1201,12434,0,0,0,0,16000
S,1175,12435,0,0,0,0,16100
S,1179,12446,0,0,0,0,16200
S,1172,12430,0,0,0,0,16300
S,1172,12440,0,0,0,0,16400
S,1184,12438,0,0,0,0,16500
S,1181,12438,0,0,0,0,16600
S,1177,12434,0,0,0,0,16700
S,1165,12443,0,0,0,0,16800
S,1116,12433,0,0,0,0,16900
S,1134,12433,0,0,0,0,17000
S,1140,12436,0,0,0,0,17100
