n,ir_data, pressure, x_location, y_location, sequence, attachment_tries, time
S,1584,12448,0,0,0,0,15100
S,1577,12449,0,0,0,0,15200
S,1579,12449,0,0,0,0,15300
S,1589,12450,0,0,0,0,15400
S,1594,12444,0,0,0,0,15500
S,1588,12453,0,0,0,0,15600
S,1582,12447,0,0,0,0,15700
S,1582,12444,0,0,0,0,15800
S,1587,12447,0,0,0,0,15900
S,1585,12446,0,0,0,0,16000
S,1588,12443,0,0,0,0,16100
S,1577,12449,0,0,0,0,16200
S,1574,12449,0,0,0,0,16300
S,1572,12449,0,0,0,0,16400
S,1595,12444,0,0,0,0,16500
S,1596,12443,0,0,0,0,16600
S,1589,12451,0,0,0,0,16700
S,1584,12448,0,0,0,0,16800
S,1581,12444,0,0,0,0,16900
S,1594,12446,0,0,0,0,17000
S,1578,12445,0,0,0,0,17100
S,1595,12444,0,0,0,0,17200
S,1593,12442,0,0,0,0,17300
S,1595,12447,0,0,0,0,17400
S,1575,12445,0,0,0,0,17500
S,1557,12446,0,0,0,0,17600
S,1581,12444,0,0,0,0,17700
S,1566,12447,0,0,0,0,17800
S,1569,12442,0,0,0,0,17900
S,1571,12442,0,0,0,0,18000
S,1570,12447,0,0,0,0,18100
S,1566,12441,0,0,0,0,18200
S,1574,12446,0,0,0,0,18300
S,1577,12443,0,0,0,0,18400
S,1583,12445,0,0,0,0,18500
S,1580,12444,0,0,0,0,18600
S,1574,12446,0,0,0,0,18700
S,1581,12447,0,0,0,0,18800
S,1583,12443,0,0,0,0,18900
S,1572,12452,0,0,0,0,19000
S,1573,12444,0,0,0,0,19100
S,1582,12441,0,0,0,0,19200
S,1576,12445,0,0,0,0,19300
S,1574,12446,0,0,0,0,19400
S,1590,12445,0,0,0,0,19500
S,1580,12447,0,0,0,0,19600
S,1574,12444,0,0,0,0,19700
S,1583,12439,0,0,0,0,19800
S,1577,12440,0,0,0,0,19900
S,1574,12443,0,0,0,0,20000
S,1573,12452,0,0,0,0,20100
S,1575,12446,0,0,0,0,20200
S,1561,12452,0,0,0,0,20300
S,1574,12444,0,0,0,0,20400
S,1574,12443,0,0,0,0,20500
S,1571,12445,0,0,0,0,20600
S,1582,12444,0,0,0,0,20700
S,1572,12442,0,0,0,0,20800
S,1581,12449,0,0,0,0,20900
S,1585,12442,0,0,0,0,21000
S,1582,12444,0,0,0,0,21100
S,1579,12445,0,0,0,0,21200
S,1572,12449,0,0,0,0,21300
S,1572,12442,0,0,0,0,21400
S,1587,12444,0,0,0,0,21500
S,1578,12443,0,0,0,0,21600
S,1577,12441,0,0,0,0,21700
S,1585,12444,0,0,0,0,21800
S,1584,12440,0,0,0,0,21900
S,1582,12443,0,0,0,0,22000
S,1571,12450,0,0,0,0,22100
S,1579,12447,0,0,0,0,22200
S,1581,12443,0,0,0,0,22300
S,1583,12446,0,0,0,0,22400
S,1577,12444,0,0,0,0,22500
S,1569,12448,0,0,0,0,22600
S,1572,12443,0,0,0,0,22700
S,1575,12449,0,0,0,0,22800
S,1572,12441,0,0,0,0,22900
S,1568,12441,0,0,0,0,23000
S,1588,12449,0,0,0,0,23100
S,1572,12446,0,0,0,0,23200
S,1582,12445,0,0,0,0,23300
S,1586,12449,0,0,0,0,23400
S,1563,12446,0,0,0,0,23500
S,1579,12443,0,0,0,0,23600
S,1579,12445,0,0,0,0,23700
S,1574,12442,0,0,0,0,23800
S,1574,12445,0,0,0,0,23900
S,1573,12445,0,0,0,0,24000
S,1576,12442,0,0,0,0,24100
S,1576,12448,0,0,0,0,24200
S,1576,12444,0,0,0,0,24300
S,1578,12441,0,0,0,0,24400
S,1571,12442,0,0,0,0,24500
S,1574,12444,0,0,0,0,24600
S,1586,12450,0,0,0,0,24700
S,1570,12445,0,0,0,0,24800
S,1571,12442,0,0,0,0,24900
S,1575,12443,0,0,0,0,25000
S,1568,12443,0,0,0,0,25100
S,1758,11326,0,0,0,1,25200
S,2160,9862,0,0,0,1,25300
S,2466,9344,0,0,0,1,25400
S,2568,9179,0,0,0,1,25500
S,2621,9137,0,0,0,1,25600
S,2639,9122,0,0,0,1,25700
S,2738,9105,0,0,0,1,25800
S,2802,9087,0,0,0,1,25900
S,2805,9082,0,0,0,1,26000
S,2815,9056,0,0,0,1,26100
S,2822,9061,0,0,0,1,26200
S,2833,9041,0,0,0,1,26300
S,2842,9052,0,0,0,1,26400
S,2839,9057,0,0,0,1,26500
S,2847,9057,0,0,0,1,26600
S,2848,9054,0,0,0,1,26700
S,2851,9052,0,0,0,1,26800
S,2847,9044,0,0,0,1,26900
S,2852,9053,0,0,0,1,27000
S,2861,9061,0,0,0,1,27100
S,2860,9051,0,0,0,1,27200
S,2857,9043,0,0,0,1,27300
S,2861,9054,0,0,0,1,27400
S,2861,9051,0,0,0,1,27500
S,2861,9071,0,0,0,1,27600
S,2874,9066,0,0,0,1,27700
S,2858,9049,0,0,0,1,27800
S,2872,9060,0,0,0,1,27900
S,2860,9050,0,0,0,1,28000
S,2856,9048,0,0,0,1,28100
S,2874,9060,0,0,0,1,28200
S,2866,9050,0,0,0,1,28300
S,2872,9076,0,0,0,1,28400
S,2870,9066,0,0,0,1,28500
S,2876,9068,0,0,0,1,28600
S,2868,9050,0,0,0,1,28700
S,2865,9056,0,0,0,1,28800
S,2870,9066,0,0,0,1,28900
S,2872,9053,0,0,0,1,29000
S,2873,9068,0,0,0,1,29100
S,2877,9071,0,0,0,1,29200
S,2875,9087,0,0,0,1,29300
S,2878,9076,0,0,0,1,29400
S,2871,9064,0,0,0,1,29500
S,2868,9084,0,0,0,1,29600
S,1697,12340,0,0,0,1,29700
S,1605,12345,0,0,0,1,29800
S,1474,12339,0,0,0,1,29900
S,1340,12340,0,0,0,1,30000
S,1314,12340,0,0,0,1,30100
S,1318,12340,0,0,0,1,30200
S,1314,12342,0,0,0,1,30300
S,1310,12345,0,0,0,1,30400
S,1303,12343,0,0,0,1,30500
S,1313,12344,0,0,0,1,30600
S,1308,12339,1,0,0,0,30700
S,1152,12344,1,0,0,0,30800
S,1020,12337,1,0,0,0,30900
S,860,12341,1,0,0,0,31000
S,695,12341,1,0,0,0,31100
S,622,12340,1,0,0,0,31200
S,557,12340,1,0,0,0,31300
S,503,12345,1,0,0,0,31400
S,512,12341,1,0,0,0,31500
S,543,12344,1,0,0,0,31600
S,551,12145,1,0,0,1,31700
S,533,12173,1,0,0,1,31800
S,546,12272,1,0,0,1,31900
S,536,12258,1,0,0,1,32000
S,522,12159,1,0,0,1,32100
S,534,12186,1,0,0,2,32200
S,552,12161,1,0,0,2,32300
S,594,12208,1,0,0,2,32400
S,631,12270,1,0,0,2,32500
S,800,12303,1,0,0,2,32600
S,963,12305,1,0,0,3,32700
S,1127,12308,1,0,0,3,32800
S,1302,12305,1,0,0,3,32900
S,1360,12306,1,0,0,3,33000
S,1373,12309,1,0,0,3,33100
S,1386,12301,1,0,0,4,33200
S,1401,12303,1,0,0,4,33300
S,1407,12307,1,0,0,4,33400
S,1404,12303,1,0,0,4,33500
S,1408,12304,1,0,0,4,33600
S,1417,12306,1,0,0,5,33700
S,1429,12303,1,0,0,5,33800
S,1431,12303,1,0,0,5,33900
S,1435,12309,1,0,0,5,34000
S,1441,12306,1,0,0,5,34100
S,1453,12315,1,0,0,6,34200
S,1476,12290,1,0,0,6,34300
S,1465,12250,1,0,0,6,34400
S,1469,12222,1,0,0,6,34500
S,1477,12218,1,0,0,6,34600
S,1474,12188,1,0,0,7,34700
S,1502,12120,1,0,0,7,34800
S,1501,12149,1,0,0,7,34900
S,1492,12161,1,0,0,7,35000
S,1506,12160,1,0,0,7,35100
S,1505,12163,1,0,0,8,35200
S,1526,12157,1,0,0,8,35300
S,1530,12168,1,0,0,8,35400
S,1528,12163,1,0,0,8,35500
S,1519,12176,1,0,0,8,35600
S,1555,12286,1,0,0,9,35700
S,1547,12285,1,0,0,9,35800
S,1553,12238,1,0,0,9,35900
S,1548,12200,1,0,0,9,36000
S,1559,12155,1,0,0,9,36100
S,1554,12162,1,0,0,10,36200
S,1844,10872,1,0,0,10,36300
S,2222,9737,1,0,0,10,36400
S,2440,9351,1,0,0,10,36500
S,2526,9282,1,0,0,10,36600
S,2559,9209,1,0,0,10,36700
S,2657,9183,1,0,0,10,36800
S,2690,9180,1,0,0,10,36900
S,2696,9166,1,0,0,10,37000
S,2704,9149,1,0,0,10,37100
S,2715,9137,1,0,0,10,37200
S,2725,9153,1,0,0,10,37300
S,2737,9135,1,0,0,10,37400
S,2739,9148,1,0,0,10,37500
S,2734,9122,1,0,0,10,37600
S,2739,9119,1,0,0,10,37700
S,2733,9119,1,0,0,10,37800
S,2743,9117,1,0,0,10,37900
S,2749,9121,1,0,0,10,38000
S,2758,9127,1,0,0,10,38100
S,2777,9129,1,0,0,10,38200
S,2785,9124,1,0,0,10,38300
S,2781,9116,1,0,0,10,38400
S,2748,9125,1,0,0,10,38500
S,2776,9160,1,0,0,10,38600
S,2773,9140,1,0,0,10,38700
S,2780,9125,1,0,0,10,38800
S,2784,9140,1,0,0,10,38900
S,2787,9124,1,0,0,10,39000
S,2774,9114,1,0,0,10,39100
S,2781,9135,1,0,0,10,39200
S,2797,9129,1,0,0,10,39300
S,2798,9137,1,0,0,10,39400
S,2806,9136,1,0,0,10,39500
S,2784,9144,1,0,0,10,39600
S,2793,9120,1,0,0,10,39700
S,2781,9126,1,0,0,10,39800
S,2790,9117,1,0,0,10,39900
S,2805,9147,1,0,0,10,40000
S,2809,9144,1,0,0,10,40100
S,2801,9131,1,0,0,10,40200
S,2802,9139,1,0,0,10,40300
S,2795,9130,1,0,0,10,40400
S,2791,9134,1,0,0,10,40500
S,2798,9126,1,0,0,10,40600
S,1663,12337,1,0,0,10,40700
S,1610,12338,1,0,0,10,40800
S,1413,12342,1,0,0,10,40900
S,1304,12345,1,0,0,10,41000
S,1246,12339,1,0,0,10,41100
S,1256,12341,1,0,0,10,41200
S,1268,12339,1,0,0,10,41300
S,1262,12343,1,0,0,10,41400
S,1248,12340,1,0,0,10,41500
S,1275,12342,1,0,0,10,41600
S,1294,12341,2,0,0,0,41700
S,1154,12342,2,0,0,0,41800
S,1010,12343,2,0,0,0,41900
S,867,12341,2,0,0,0,42000
S,674,12344,2,0,0,0,42100
S,604,12336,2,0,0,0,42200
S,573,12343,2,0,0,0,42300
S,509,12340,2,0,0,0,42400
S,553,12341,2,0,0,0,42500
S,554,12340,2,0,0,0,42600
S,542,12241,2,0,0,1,42700
S,517,12137,2,0,0,1,42800
S,516,12183,2,0,0,1,42900
S,546,12308,2,0,0,1,43000
S,531,12196,2,0,0,1,43100
S,512,12187,2,0,0,2,43200
S,540,12165,2,0,0,2,43300
S,569,12281,2,0,0,2,43400
S,637,12299,2,0,0,2,43500
S,791,12182,2,0,0,2,43600
S,920,12161,2,0,0,3,43700
S,1089,12207,2,0,0,3,43800
S,1264,12299,2,0,0,3,43900
S,1349,12258,2,0,0,3,44000
S,1344,12167,2,0,0,3,44100
S,1318,12186,2,0,0,4,44200
S,1383,12183,2,0,0,4,44300
S,1378,12168,2,0,0,4,44400
S,1385,12220,2,0,0,4,44500
S,1384,12264,2,0,0,4,44600
S,1391,12297,2,0,0,5,44700
S,1414,12314,2,0,0,5,44800
S,1402,12315,2,0,0,5,44900
S,1404,12309,2,0,0,5,45000
S,1417,12274,2,0,0,5,45100
S,1422,12255,2,0,0,6,45200
S,1442,12236,2,0,0,6,45300
S,1446,12192,2,0,0,6,45400
S,1438,12148,2,0,0,6,45500
S,1436,12137,2,0,0,6,45600
S,1459,12134,2,0,0,7,45700
S,1483,12128,2,0,0,7,45800
S,1480,12147,2,0,0,7,45900
S,1471,12171,2,0,0,7,46000
S,1488,12188,2,0,0,7,46100
S,1511,12222,2,0,0,8,46200
S,1503,12254,2,0,0,8,46300
S,1510,12291,2,0,0,8,46400
S,1511,12169,2,0,0,8,46500
S,1507,12178,2,0,0,8,46600
S,1506,12175,2,0,0,9,46700
S,1535,12197,2,0,0,9,46800
S,1530,12306,2,0,0,9,46900
S,1533,12278,2,0,0,9,47000
S,1527,12206,2,0,0,9,47100
S,1550,12122,2,0,0,10,47200
S,1554,12163,2,0,0,10,47300
S,1559,12305,2,0,0,10,47400
S,1557,12166,2,0,0,10,47500
S,1548,12179,2,0,0,10,47600
S,1572,12304,2,0,0,11,47700
S,1832,11139,2,0,0,11,47800
S,2210,9768,2,0,0,11,47900
S,2461,9393,2,0,0,11,48000
S,2539,9263,2,0,0,11,48100
S,2584,9224,2,0,0,11,48200
S,2677,9202,2,0,0,11,48300
S,2697,9184,2,0,0,11,48400
S,2711,9171,2,0,0,11,48500
S,2719,9152,2,0,0,11,48600
S,2731,9152,2,0,0,11,48700
S,2742,9158,2,0,0,11,48800
S,2743,9140,2,0,0,11,48900
S,2767,9163,2,0,0,11,49000
S,2780,9157,2,0,0,11,49100
S,2755,9144,2,0,0,11,49200
S,2798,9155,2,0,0,11,49300
S,2793,9139,2,0,0,11,49400
S,2784,9141,2,0,0,11,49500
S,2801,9129,2,0,0,11,49600
