n,ir_data, pressure, x_location, y_location, sequence, attachment_tries, time
S,1215,12442,0,0,0,0,7900
S,1213,12446,0,0,0,0,8000
S,1212,12440,0,0,0,0,8100
S,1212,12444,0,0,0,0,8200
S,1215,12446,0,0,0,0,8300
S,1222,12446,0,0,0,0,8400
S,1220,12446,0,0,0,0,8500
S,1221,12442,0,0,0,0,8600
S,1231,12437,0,0,0,0,8700
S,1215,12439,0,0,0,0,8800
S,1194,12447,0,0,0,0,8900
S,1222,12447,0,0,0,0,9000
S,1221,12439,0,0,0,0,9100
S,1184,12446,0,0,0,0,9200
S,1247,12441,0,0,0,0,9300
S,1214,12445,0,0,0,0,9400
S,1226,12439,0,0,0,0,9500
S,1222,12440,0,0,0,0,9600
S,1222,12448,0,0,0,0,9700
S,1219,12443,0,0,0,0,9800
S,1243,12436,0,0,0,0,9900
S,1235,12443,0,0,0,0,10000
S,1224,12438,0,0,0,0,10100
S,1228,12439,0,0,0,0,10200
S,1214,12441,0,0,0,0,10300
S,1234,12445,0,0,0,0,10400
S,1222,12445,0,0,0,0,10500
S,1253,12444,0,0,0,0,10600
S,1215,12448,0,0,0,0,10700
S,1239,12448,0,0,0,0,10800
S,1213,12442,0,0,0,0,10900
S,1218,12446,0,0,0,0,11000
S,1243,12448,0,0,0,0,11100
S,1222,12447,0,0,0,0,11200
S,1212,12447,0,0,0,0,11300
S,1233,12440,0,0,0,0,11400
S,1251,12443,0,0,0,0,11500
S,1265,12444,0,0,0,0,11600
S,1260,12445,0,0,0,0,11700
S,1252,12449,0,0,0,0,11800
S,1270,12445,0,0,0,0,11900
S,1256,12446,0,0,0,0,12000
S,1300,12444,0,0,0,0,12100
S,1270,12443,0,0,0,0,12200
S,1267,12447,0,0,0,0,12300
S,1268,12442,0,0,0,0,12400
S,1241,12445,0,0,0,0,12500
S,1262,12440,0,0,0,0,12600
S,1262,12447,0,0,0,0,12700
S,1294,12440,0,0,0,0,12800
S,1272,12438,0,0,0,0,12900
S,1295,12447,0,0,0,0,13000
S,1258,12439,0,0,0,0,13100
S,1300,12446,0,0,0,0,13200
S,1306,12441,0,0,0,0,13300
S,1310,12441,0,0,0,0,13400
S,1274,12440,0,0,0,0,13500
S,1333,12440,0,0,0,0,13600
S,1290,12444,0,0,0,0,13700
S,1284,12442,0,0,0,0,13800
S,1306,12439,0,0,0,0,13900
S,1314,12441,0,0,0,0,14000
S,1300,12442,0,0,0,0,14100
S,1306,12443,0,0,0,0,14200
S,1301,12441,0,0,0,0,14300
S,1319,12447,0,0,0,0,14400
S,1300,12441,0,0,0,0,14500
S,1300,12446,0,0,0,0,14600
S,1325,12437,0,0,0,0,14700
S,1294,12439,0,0,0,0,14800
S,1303,12443,0,0,0,0,14900
S,1278,12437,0,0,0,0,15000
S,1313,12442,0,0,0,0,15100
S,1342,12442,0,0,0,0,15200
S,1315,12442,0,0,0,0,15300
S,1291,12448,0,0,0,0,15400
S,1298,12444,0,0,0,0,15500
S,1299,12447,0,0,0,0,15600
S,1340,12443,0,0,0,0,15700
S,1316,12448,0,0,0,0,15800
S,1272,12443,0,0,0,0,15900
S,1335,12441,0,0,0,0,16000
S,1287,12443,0,0,0,0,16100
S,1306,12441,0,0,0,0,16200
S,1326,12448,0,0,0,0,16300
S,1358,12448,0,0,0,0,16400
S,1337,12440,0,0,0,0,16500
S,1376,12444,0,0,0,0,16600
S,1329,12439,0,0,0,0,16700
S,1337,12446,0,0,0,0,16800
S,1344,12440,0,0,0,0,16900
S,1331,12436,0,0,0,0,17000
S,1362,12445,0,0,0,0,17100
S,1346,12439,0,0,0,0,17200
S,1358,12449,0,0,0,0,17300
S,1359,12442,0,0,0,0,17400
S,1347,12441,0,0,0,0,17500
S,1331,12441,0,0,0,0,17600
S,1357,12445,0,0,0,0,17700
S,1340,12442,0,0,0,0,17800
S,1368,12440,0,0,0,0,17900
S,1379,12436,0,0,0,0,18000
S,1381,12444,0,0,0,0,18100
S,1341,12441,0,0,0,0,18200
S,1340,12441,0,0,0,0,18300
S,1378,12444,0,0,0,0,18400
S,1369,12440,0,0,0,0,18500
S,1368,12444,0,0,0,0,18600
S,1365,12442,0,0,0,0,18700
S,1362,12440,0,0,0,0,18800
S,1372,12441,0,0,0,0,18900
S,1368,12441,0,0,0,0,19000
S,1359,12445,0,0,0,0,19100
S,1396,12443,0,0,0,0,19200
S,1419,12440,0,0,0,0,19300
S,1376,12438,0,0,0,0,19400
S,1411,12445,0,0,0,0,19500
S,1380,12441,0,0,0,0,19600
S,1393,12441,0,0,0,0,19700
S,1424,12443,0,0,0,0,19800
S,1389,12441,0,0,0,0,19900
S,1385,12442,0,0,0,0,20000
S,1383,12438,0,0,0,0,20100
S,1385,12443,0,0,0,0,20200
S,1384,12440,0,0,0,0,20300
S,1384,12442,0,0,0,0,20400
S,1384,12436,0,0,0,0,20500
S,1399,12445,0,0,0,0,20600
S,1388,12442,0,0,0,0,20700
S,1402,12447,0,0,0,0,20800
S,1375,12443,0,0,0,0,20900
S,1387,12438,0,0,0,0,21000
S,1380,12442,0,0,0,0,21100
S,1387,12443,0,0,0,0,21200
S,1379,12443,0,0,0,0,21300
S,1389,12443,0,0,0,0,21400
S,1382,12440,0,0,0,0,21500
S,1383,12440,0,0,0,0,21600
S,1390,12444,0,0,0,0,21700
S,1388,12449,0,0,0,0,21800
S,1391,12444,0,0,0,0,21900
S,1398,12437,0,0,0,0,22000
S,1392,12443,0,0,0,0,22100
S,1391,12439,0,0,0,0,22200
S,1378,12444,0,0,0,0,22300
S,1398,12442,0,0,0,0,22400
S,1388,12444,0,0,0,0,22500
S,1379,12439,0,0,0,0,22600
S,1388,12441,0,0,0,0,22700
S,1385,12443,0,0,0,0,22800
