n,ir_data, pressure, x_location, y_location, sequence, attachment_tries, time
S,1328,12520,0,0,0,0,7500
S,1346,12515,0,0,0,0,7600
S,1327,12519,0,0,0,0,7700
S,1324,12519,0,0,0,0,7800
S,1319,12517,0,0,0,0,7900
S,1342,12523,0,0,0,0,8000
S,1332,12520,0,0,0,0,8100
S,1333,12525,0,0,0,0,8200
S,1336,12532,0,0,0,0,8300
S,1333,12527,0,0,0,0,8400
S,1334,12524,0,0,0,0,8500
S,1337,12526,0,0,0,0,8600
S,1336,12524,0,0,0,0,8700
S,1337,12524,0,0,0,0,8800
S,1327,12519,0,0,0,0,8900
S,1359,12516,0,0,0,0,9000
S,1299,12527,0,0,0,0,9100
S,1335,12524,0,0,0,0,9200
S,1361,12524,0,0,0,0,9300
S,1337,12517,0,0,0,0,9400
S,1336,12521,0,0,0,0,9500
S,1301,12527,0,0,0,0,9600
S,1344,12528,0,0,0,0,9700
S,1335,12531,0,0,0,0,9800
S,1327,12524,0,0,0,0,9900
S,1329,12522,0,0,0,0,10000
S,1346,12521,0,0,0,0,10100
S,1315,12520,0,0,0,0,10200
S,1340,12520,0,0,0,0,10300
S,1298,12520,0,0,0,0,10400
S,1334,12522,0,0,0,0,10500
S,1338,12519,0,0,0,0,10600
S,1334,12522,0,0,0,0,10700
S,1334,12527,0,0,0,0,10800
S,1337,12519,0,0,0,0,10900
S,1324,12528,0,0,0,0,11000
S,1319,12519,0,0,0,0,11100
S,1345,12520,0,0,0,0,11200
S,1323,12525,0,0,0,0,11300
S,1317,12518,0,0,0,0,11400
S,1325,12523,0,0,0,0,11500
S,1340,12523,0,0,0,0,11600
S,1360,12524,0,0,0,0,11700
S,1349,12520,0,0,0,0,11800
S,1323,12522,0,0,0,0,11900
S,1327,12523,0,0,0,0,12000
S,1323,12521,0,0,0,0,12100
S,1318,12524,0,0,0,0,12200
S,1330,12522,0,0,0,0,12300
S,1317,12526,0,0,0,0,12400
S,1298,12521,0,0,0,0,12500
