n,z_position, force, x_location, y_location, sequence, attachment_tries, time
S,0.00,1496772.00,0,0,0,0,8130
S,0.00,1496775.00,0,0,0,0,8222
S,0.00,1496778.00,0,0,0,0,8314
S,0.00,1496751.00,0,0,0,0,8405
S,0.00,1496709.00,0,0,0,0,8497
S,0.00,1496735.00,0,0,0,0,8589
S,0.00,1496699.00,0,0,0,0,8772
S,0.00,1496673.00,0,0,0,0,8864
S,0.00,1496667.00,0,0,0,0,8956
S,0.00,1496693.00,0,0,0,0,9047
S,0.00,1496619.00,0,0,0,0,9139
S,0.00,1496606.00,0,0,0,0,9231
S,0.00,1496662.00,0,0,0,0,9322
S,0.00,1496595.00,0,0,0,0,9414
S,0.00,1496529.00,0,0,0,0,9506
S,0.00,1496573.00,0,0,0,0,9597
S,0.00,1496587.00,0,0,0,0,9689
S,0.00,1496600.00,0,0,0,0,9872
S,0.00,1496627.00,0,0,0,0,9964
S,0.00,1496633.00,0,0,0,0,10056
S,0.00,1496722.00,0,0,0,0,10147
S,0.00,1496744.00,0,0,0,0,10239
S,0.00,1496682.00,0,0,0,0,10331
S,0.00,1496815.00,0,0,0,0,10423
S,0.00,1496797.00,0,0,0,0,10514
S,0.00,1496809.00,0,0,0,0,10606
S,0.00,1496726.00,0,0,0,0,10698
S,0.00,1496647.00,0,0,0,0,10789
S,0.00,1496606.00,0,0,0,0,10973
S,0.00,1496645.00,0,0,0,0,11064
S,0.00,1496646.00,0,0,0,0,11156
S,0.00,1496539.00,0,0,0,0,11248
S,0.00,1496469.00,0,0,0,0,11339
S,0.00,1496454.00,0,0,0,0,11431
S,0.00,1496488.00,0,0,0,0,11523
S,0.00,1496403.00,0,0,0,0,11614
S,0.00,1496384.00,0,0,0,0,11706
S,0.00,1496375.00,0,0,0,0,11798
S,0.00,1496395.00,0,0,0,0,11889
S,0.00,1496399.00,0,0,0,0,12073
S,0.00,1496344.00,0,0,0,0,12165
S,0.00,1496349.00,0,0,0,0,12256
S,0.00,1496301.00,0,0,0,0,12348
S,0.00,1496278.00,0,0,0,0,12440
S,0.00,1496307.00,0,0,0,0,12531
S,0.00,1496299.00,0,0,0,0,12623
S,0.00,1496278.00,0,0,0,0,12715
S,0.00,1496283.00,0,0,0,0,12806
S,0.00,1496312.00,0,0,0,0,12898
S,0.00,1496327.00,0,0,0,0,12990
S,0.00,1496240.00,0,0,0,0,13173
S,0.00,1496271.00,0,0,0,0,13265
S,0.00,1496264.00,0,0,0,0,13357
S,0.00,1496259.00,0,0,0,0,13448
S,0.00,1496221.00,0,0,0,0,13540
S,0.00,1496182.00,0,0,0,0,13632
S,0.00,1496168.00,0,0,0,0,13723
S,0.00,1496184.00,0,0,0,0,13815
S,0.00,1496146.00,0,0,0,0,13907
S,0.00,1496171.00,0,0,0,0,13998
S,0.00,1496185.00,0,0,0,0,14090
S,0.00,0.01,0,0,0,0,14273
S,0.00,0.01,0,0,0,0,14365
S,0.00,0.01,0,0,0,0,14457
S,0.00,0.01,0,0,0,0,14548
S,0.00,0.01,0,0,0,0,14640
S,0.00,0.01,0,0,0,0,14732
S,0.00,0.01,0,0,0,0,14824
S,0.00,0.01,0,0,0,0,14915
S,0.00,0.01,0,0,0,0,15007
S,0.00,0.01,0,0,0,0,15099
S,0.00,0.01,0,0,0,0,15190
S,0.00,0.01,0,0,0,0,15287
S,0.00,0.01,0,0,0,0,15387
S,0.00,0.01,0,0,0,0,15487
S,0.00,0.01,0,0,0,0,15587
S,0.00,0.01,0,0,0,0,15687
S,0.00,0.01,0,0,0,0,15787
S,0.00,0.01,0,0,0,0,15887
S,0.00,0.01,0,0,0,0,15987
S,0.00,0.01,0,0,0,0,16087
S,0.00,0.01,0,0,0,0,16187
S,0.00,0.01,0,0,0,0,16287
S,0.00,0.01,0,0,0,0,16387
S,0.00,0.01,0,0,0,0,16487
S,0.00,0.01,0,0,0,0,16587
S,0.00,0.01,0,0,0,0,16687
S,0.00,0.01,0,0,0,0,16787
S,0.00,0.01,0,0,0,0,16887
S,0.00,0.01,0,0,0,0,16987
S,0.00,0.01,0,0,0,0,17087
S,0.00,0.01,0,0,0,0,17187
S,0.00,0.01,0,0,0,0,17287
S,0.00,0.01,0,0,0,0,17387
S,0.00,0.01,0,0,0,0,17487
S,0.00,0.01,0,0,0,0,17587
S,0.00,0.01,0,0,0,0,17687
S,0.00,0.01,0,0,0,0,17787
S,0.00,0.00,0,0,0,0,17887
S,0.00,0.00,0,0,0,0,17987
S,0.00,0.00,0,0,0,0,18087
S,0.00,0.01,0,0,0,0,18187
S,0.00,0.01,0,0,0,0,18287
S,0.00,0.01,0,0,0,0,18387
