n,ir_data, pressure, x_location, y_location, sequence, attachment_tries, time
S,0.00,1501807.00,0,0,0,0,6349
S,0.00,1501766.00,0,0,0,0,6440
S,0.00,1501689.00,0,0,0,0,6532
S,0.00,1501760.00,0,0,0,0,6624
S,0.00,1501820.00,0,0,0,0,6715
S,0.00,1501829.00,0,0,0,0,6807
S,0.00,1501770.00,0,0,0,0,6990
S,0.00,1501766.00,0,0,0,0,7082
S,0.00,1501775.00,0,0,0,0,7174
S,0.00,1501774.00,0,0,0,0,7265
S,0.00,1501735.00,0,0,0,0,7357
S,0.00,1501647.00,0,0,0,0,7449
S,0.00,1501499.00,0,0,0,0,7540
S,0.00,1501504.00,0,0,0,0,7632
S,0.00,1501671.00,0,0,0,0,7724
S,0.00,1501800.00,0,0,0,0,7815
S,0.00,1501829.00,0,0,0,0,7907
S,0.00,1501635.00,0,0,0,0,8090
S,0.00,1501628.00,0,0,0,0,8182
S,0.00,1501796.00,0,0,0,0,8274
S,0.00,1501860.00,0,0,0,0,8365
S,0.00,1501937.00,0,0,0,0,8457
S,0.00,1501934.00,0,0,0,0,8549
S,0.00,1501927.00,0,0,0,0,8640
S,0.00,1501832.00,0,0,0,0,8732
S,0.00,1501904.00,0,0,0,0,8824
S,0.00,1501948.00,0,0,0,0,8915
S,0.00,1501950.00,0,0,0,0,9007
S,0.00,1501924.00,0,0,0,0,9190
S,0.00,1501933.00,0,0,0,0,9282
S,0.00,1501772.00,0,0,0,0,9374
S,0.00,1500707.00,0,0,0,0,9465
S,0.00,1501329.00,0,0,0,0,9557
S,0.00,1501598.00,0,0,0,0,9649
S,0.00,1501282.00,0,0,0,0,9740
S,0.00,1501172.00,0,0,0,0,9832
S,0.00,1501631.00,0,0,0,0,9924
S,0.00,1501783.00,0,0,0,0,10015
S,0.00,1501673.00,0,0,0,0,10107
S,0.00,1501238.00,0,0,0,0,10290
S,0.00,1501341.00,0,0,0,0,10382
S,0.00,1501608.00,0,0,0,0,10474
S,0.00,1501668.00,0,0,0,0,10565
S,0.00,1501607.00,0,0,0,0,10657
S,0.00,1501513.00,0,0,0,0,10749
S,0.00,1501516.00,0,0,0,0,10840
S,0.00,1501500.00,0,0,0,0,10932
S,0.00,1501459.00,0,0,0,0,11024
S,0.00,1501425.00,0,0,0,0,11115
S,0.00,1501382.00,0,0,0,0,11207
S,0.00,1501411.00,0,0,0,0,11390
S,0.00,1501429.00,0,0,0,0,11482
S,0.00,1501465.00,0,0,0,0,11574
S,0.00,1501423.00,0,0,0,0,11665
S,0.00,1501448.00,0,0,0,0,11757
S,0.00,1501390.00,0,0,0,0,11849
S,0.00,1501419.00,0,0,0,0,11940
S,0.00,1501359.00,0,0,0,0,12032
S,0.00,1501347.00,0,0,0,0,12124
S,0.00,1501304.00,0,0,0,0,12215
S,0.00,1501267.00,0,0,0,0,12307
S,0.00,1501308.00,0,0,0,0,12490
S,0.00,1501301.00,0,0,0,0,12582
S,0.00,1501378.00,0,0,0,0,12674
S,0.00,1501351.00,0,0,0,0,12765
S,0.00,1501267.00,0,0,0,0,12857
S,0.00,1501258.00,0,0,0,0,12949
S,0.00,1501289.00,0,0,0,0,13040
S,0.00,1501311.00,0,0,0,0,13132
S,0.00,1501299.00,0,0,0,0,13224
S,0.00,1501244.00,0,0,0,0,13315
S,0.00,1501190.00,0,0,0,0,13407
S,0.00,0.01,0,0,0,0,13590
S,0.00,0.01,0,0,0,0,13682
S,0.00,0.01,0,0,0,0,13774
S,0.00,0.01,0,0,0,0,13865
S,0.00,0.01,0,0,0,0,13957
S,0.00,0.01,0,0,0,0,14049
S,0.00,0.01,0,0,0,0,14140
S,0.00,0.01,0,0,0,0,14232
S,0.00,0.01,0,0,0,0,14323
S,0.00,0.01,0,0,0,0,14415
S,0.00,0.01,0,0,0,0,14507
S,0.00,0.01,0,0,0,0,14600
